,importance
TransactionAmt,1.9415440559387207
ProductCD,0.0
card1,621.9610562473536
card2,27.823123440146446
card3,0.0
card5,57.22048510611057
card6,0.0
addr1,140.89610040187836
addr2,0.0
dist1,15.363100051879883
dist2,0.0
P_emaildomain,2.4579999446868896
R_emaildomain,701.2951880693436
C1,386.2324297428131
C2,1.498600959777832
C4,0.0
C5,0.15268999338150024
C6,0.0
C7,0.0
C8,0.0
C9,0.0
C10,0.0
C11,0.0
C12,0.0
C13,2.0859310626983643
C14,0.0
D1,176.01555013656616
D2,126.52881982922554
D3,27.6876699924469
D4,41.385219275951385
D5,0.15333199501037598
D10,221.56329618487507
D11,0.0
D15,72.27303993701935
M1,0.0
M2,0.0
M3,0.0
M4,2.120300054550171
M6,0.0
M7,0.0
M8,0.0
M9,0.9998199939727783
V1,0.0
V3,1.8501700162887573
V4,19.16984987258911
V6,0.0
V8,0.0
V11,0.0
V13,0.0
V14,0.0
V17,0.0
V20,0.0
V23,0.0
V26,0.0
V27,0.0
V30,0.0
V36,2.737299919128418
V37,0.0
V40,0.0
V41,0.0
V44,0.0
V47,0.0
V48,5.858850002288818
V54,0.0
V56,0.0
V59,0.0
V62,0.0
V65,0.0
V67,0.0
V68,0.0
V70,0.0
V76,0.0
V78,0.0
V80,0.0
V82,0.0
V86,0.0
V88,0.0
V89,0.0
V91,22.498199462890625
V107,0.0
V108,0.0
V111,0.0
V115,0.0
V117,0.0
V120,0.0
V121,0.0
V123,0.0
V124,0.0
V127,0.0
V129,0.0
V130,0.0
V136,0.0
V138,0.0
V139,0.0
V142,0.0
V147,0.0
V156,0.0
V160,0.0
V162,0.0
V165,0.0
V166,0.0
V169,0.0
V171,32.12370014190674
V173,0.0
V175,0.0
V176,0.0
V178,0.0
V180,0.0
V182,0.0
V185,0.0
V187,0.0
V188,11.489659786224365
V198,0.0
V203,0.0
V205,0.0
V207,0.0
V209,0.0
V210,0.0
V215,0.0
V218,103.87159633636475
V220,0.0
V221,0.0
V223,24.088699340820312
V224,0.0
V226,27.79509925842285
V228,0.0
V229,23.221399307250977
V234,0.0
V235,0.0
V238,0.0
V240,0.0
V250,0.0
V252,0.0
V253,0.0
V257,0.0
V258,0.0
V260,0.0
V261,0.0
V264,0.0
V266,0.0
V267,0.0
V271,0.0
V274,0.0
V277,0.0
V281,0.0
V283,0.0
V284,0.0
V285,0.0
V286,0.0
V289,0.0
V291,69.2813503742218
V294,0.0
V296,0.0
V297,0.0
V301,0.0
V303,0.0
V305,0.0
V307,127.32526302337646
V309,0.0
V310,3.8637309670448303
V314,0.0
V320,0.0
id_01,0.0
id_02,0.0
id_03,0.0
id_04,0.0
id_05,0.0
id_06,645.6006810665131
id_09,0.0
id_10,0.0
id_11,0.0
id_12,0.0
id_13,0.0
id_15,0.0
id_16,0.0
id_17,0.0
id_18,0.0
id_19,139.5166997909546
id_20,0.0
id_28,0.0
id_29,0.0
id_31,0.0
id_35,0.0
id_36,0.0
id_37,0.0
id_38,0.0
DeviceType,0.0
DeviceInfo,0.0
cents,27.54431089758873
addr1_FE,372.2471704483032
card1_FE,5.257113765925169
card2_FE,227.36706602200866
card3_FE,0.0
P_emaildomain_FE,71.69034276902676
card1_addr1,197.21589405834675
card1_addr1_P_emaildomain,73.0760592520237
card1_addr1_FE,4.387335896492004
card1_addr1_P_emaildomain_FE,19.339763563126326
TransactionAmt_card1_mean,4.354449987411499
TransactionAmt_card1_std,26.631603840272874
TransactionAmt_card1_addr1_mean,11.791654020547867
TransactionAmt_card1_addr1_std,8.104249715805054
TransactionAmt_card1_addr1_P_emaildomain_mean,0.31398800015449524
TransactionAmt_card1_addr1_P_emaildomain_std,14.280200004577637
D9_card1_mean,46.39451444149017
D9_card1_std,122.3131729438901
D9_card1_addr1_mean,19.663609981536865
D9_card1_addr1_std,27.88683009147644
D9_card1_addr1_P_emaildomain_mean,0.0
D9_card1_addr1_P_emaildomain_std,273.46728587150574
D11_card1_mean,9.392828449606895
D11_card1_std,10.981539964675903
D11_card1_addr1_mean,4.057849884033203
D11_card1_addr1_std,75.47143095731735
D11_card1_addr1_P_emaildomain_mean,0.0
D11_card1_addr1_P_emaildomain_std,5.108520030975342
uid_FE,0.0
TransactionAmt_uid_mean,0.5202080011367798
TransactionAmt_uid_std,0.8716539740562439
D4_uid_mean,53.936797918751836
D4_uid_std,43.92047566361725
D9_uid_mean,0.0
D9_uid_std,0.0
D10_uid_mean,59.461953055113554
D10_uid_std,3.646488919854164
D15_uid_mean,694.7143099308014
D15_uid_std,14.014594912994653
C1_uid_mean,43.449379444122314
C2_uid_mean,35.13101306557655
C4_uid_mean,0.0
C5_uid_mean,2.721450090408325
C6_uid_mean,1.9754410088062286
C7_uid_mean,0.0
C8_uid_mean,0.0
C9_uid_mean,0.0
C10_uid_mean,7.1367998123168945
