fold	iteration	train_auc	val_auc
001	000010	0.500000	0.500000
001	000020	0.500000	0.500000
001	000030	0.500000	0.500000
002	000010	0.500000	0.500000
002	000020	0.500000	0.500000
002	000030	0.500000	0.500000
003	000010	0.830969	0.656989
003	000020	0.852600	0.634409
003	000030	0.853783	0.640860
004	000010	0.837600	0.500000
004	000020	0.856133	0.340206
004	000030	0.855933	0.309278
005	000010	0.869502	0.766667
005	000020	0.872226	0.810526
005	000030	0.874899	0.817544
005	000040	0.876917	0.828070
005	000050	0.875252	0.821053
005	000060	0.877119	0.817544
005	000070	0.878531	0.828070
