fold	iteration	train_auc	val_auc
001	000001	0.794357	0.735887
001	000002	0.885892	0.725806
001	000003	0.905474	0.758065
001	000004	0.916253	0.765121
001	000005	0.927991	0.791331
001	000006	0.920655	0.759073
001	000007	0.926580	0.753024
001	000008	0.923081	0.761089
001	000009	0.932223	0.771169
001	000010	0.928499	0.748992
001	000011	0.927144	0.759073
001	000012	0.931885	0.775202
001	000013	0.932901	0.773185
001	000014	0.930587	0.732863
001	000015	0.933521	0.736895
001	000016	0.937020	0.713710
001	000017	0.935327	0.717742
001	000018	0.938657	0.730847
001	000019	0.939898	0.716734
001	000020	0.939221	0.722782
001	000021	0.941366	0.726815
001	000022	0.941930	0.718750
001	000023	0.946219	0.704637
001	000024	0.952540	0.737903
001	000025	0.951975	0.709677
001	000026	0.951749	0.717742
001	000027	0.954120	0.715726
001	000028	0.954458	0.745968
001	000029	0.956490	0.754032
001	000030	0.955756	0.740927
001	000031	0.956659	0.742944
001	000032	0.962077	0.746976
001	000033	0.963995	0.746976
001	000034	0.963770	0.744960
001	000035	0.963205	0.751008
001	000036	0.963883	0.751008
001	000037	0.964898	0.751008
001	000038	0.966479	0.748992
001	000039	0.966027	0.740927
001	000040	0.966591	0.740927
001	000041	0.968736	0.748992
001	000042	0.968962	0.746976
001	000043	0.968623	0.748992
001	000044	0.971106	0.748992
001	000045	0.971445	0.742944
001	000046	0.972404	0.746976
001	000047	0.972968	0.740927
001	000048	0.973251	0.740927
001	000049	0.973025	0.734879
001	000050	0.973307	0.734879
001	000051	0.974887	0.736895
001	000052	0.975903	0.740927
001	000053	0.976016	0.738911
001	000054	0.977314	0.736895
002	000001	0.836617	0.686667
002	000002	0.836617	0.686667
002	000003	0.850321	0.680000
002	000004	0.850321	0.680000
002	000005	0.852034	0.680000
002	000006	0.859886	0.676111
002	000007	0.859886	0.676111
002	000008	0.859886	0.676111
002	000009	0.859886	0.676111
002	000010	0.863169	0.670556
002	000011	0.888080	0.747222
002	000012	0.908851	0.717778
002	000013	0.908851	0.717778
002	000014	0.908851	0.717778
002	000015	0.907709	0.707222
002	000016	0.932334	0.737778
002	000017	0.934047	0.733333
002	000018	0.939329	0.728889
002	000019	0.939329	0.728889
002	000020	0.943041	0.725556
002	000021	0.945610	0.733333
002	000022	0.944754	0.734444
002	000023	0.952534	0.732222
002	000024	0.951963	0.736111
002	000025	0.952106	0.743889
002	000026	0.953248	0.750556
002	000027	0.956246	0.738333
002	000028	0.959101	0.738333
002	000029	0.961527	0.737222
002	000030	0.966238	0.733333
002	000031	0.965953	0.738889
002	000032	0.966952	0.743333
002	000033	0.968808	0.742222
002	000034	0.971235	0.737778
002	000035	0.970378	0.733333
002	000036	0.969807	0.735556
002	000037	0.971092	0.740000
002	000038	0.970236	0.743333
002	000039	0.972091	0.741111
002	000040	0.971378	0.750000
002	000041	0.971092	0.754444
002	000042	0.971949	0.746667
002	000043	0.972520	0.750000
002	000044	0.971806	0.754444
002	000045	0.972662	0.751111
002	000046	0.972948	0.754444
002	000047	0.975946	0.751111
002	000048	0.977231	0.746667
002	000049	0.976945	0.751111
002	000050	0.976517	0.754444
002	000051	0.976945	0.752222
002	000052	0.978658	0.753333
002	000053	0.978658	0.760000
002	000054	0.978658	0.762222
002	000055	0.979372	0.756667
002	000056	0.980228	0.753333
002	000057	0.980228	0.752222
002	000058	0.980657	0.747778
002	000059	0.980942	0.754444
002	000060	0.980657	0.764444
