fold	iteration	train_auc	val_auc
001	000001	0.992708	0.927536
001	000002	0.997917	0.904891
001	000003	1.000000	0.925725
001	000004	1.000000	0.920290
001	000005	1.000000	0.929348
001	000006	1.000000	0.920290
001	000007	1.000000	0.932065
001	000008	1.000000	0.940217
001	000009	1.000000	0.942029
001	000010	1.000000	0.938406
001	000011	1.000000	0.942029
001	000012	1.000000	0.943841
001	000013	1.000000	0.942029
001	000014	1.000000	0.942029
001	000015	1.000000	0.942029
001	000016	1.000000	0.931159
001	000017	1.000000	0.931159
001	000018	1.000000	0.934783
001	000019	1.000000	0.934783
001	000020	1.000000	0.931159
001	000021	1.000000	0.932971
001	000022	1.000000	0.929348
001	000023	1.000000	0.929348
001	000024	1.000000	0.923913
001	000025	1.000000	0.920290
001	000026	1.000000	0.922101
001	000027	1.000000	0.923913
001	000028	1.000000	0.923913
001	000029	1.000000	0.923913
001	000030	1.000000	0.923913
001	000031	1.000000	0.923913
001	000032	1.000000	0.923913
001	000033	1.000000	0.923913
001	000034	1.000000	0.923913
001	000035	1.000000	0.923913
001	000036	1.000000	0.923913
001	000037	1.000000	0.925725
001	000038	1.000000	0.923913
001	000039	1.000000	0.925725
001	000040	1.000000	0.925725
001	000041	1.000000	0.932971
001	000042	1.000000	0.932971
001	000043	1.000000	0.932971
001	000044	1.000000	0.932971
001	000045	1.000000	0.932971
001	000046	1.000000	0.932971
001	000047	1.000000	0.931159
001	000048	1.000000	0.932971
001	000049	1.000000	0.932971
001	000050	1.000000	0.932971
001	000051	1.000000	0.931159
001	000052	1.000000	0.931159
001	000053	1.000000	0.931159
001	000054	1.000000	0.931159
001	000055	1.000000	0.931159
001	000056	1.000000	0.932971
001	000057	1.000000	0.932971
001	000058	1.000000	0.934783
001	000059	1.000000	0.934783
001	000060	1.000000	0.932971
001	000061	1.000000	0.932971
001	000062	1.000000	0.931159
002	000001	0.944391	0.462766
002	000002	0.998066	0.667553
002	000003	0.996615	0.759309
002	000004	1.000000	0.780585
002	000005	1.000000	0.769947
002	000006	1.000000	0.761968
002	000007	1.000000	0.769947
002	000008	1.000000	0.767287
002	000009	1.000000	0.785904
002	000010	1.000000	0.777926
002	000011	1.000000	0.792553
002	000012	1.000000	0.784574
002	000013	1.000000	0.797872
002	000014	1.000000	0.795213
002	000015	1.000000	0.801862
002	000016	1.000000	0.796543
002	000017	1.000000	0.793883
002	000018	1.000000	0.785904
002	000019	1.000000	0.780585
002	000020	1.000000	0.788564
002	000021	1.000000	0.785904
002	000022	1.000000	0.785904
002	000023	1.000000	0.788564
002	000024	1.000000	0.788564
002	000025	1.000000	0.791223
002	000026	1.000000	0.791223
002	000027	1.000000	0.791223
002	000028	1.000000	0.791223
002	000029	1.000000	0.791223
002	000030	1.000000	0.793883
002	000031	1.000000	0.796543
002	000032	1.000000	0.796543
002	000033	1.000000	0.796543
002	000034	1.000000	0.793883
002	000035	1.000000	0.793883
002	000036	1.000000	0.793883
002	000037	1.000000	0.793883
002	000038	1.000000	0.791223
002	000039	1.000000	0.793883
002	000040	1.000000	0.791223
002	000041	1.000000	0.791223
002	000042	1.000000	0.793883
002	000043	1.000000	0.793883
002	000044	1.000000	0.793883
002	000045	1.000000	0.791223
