fold	iteration	train_auc	eval_auc
001	000010	0.879552	0.740741
001	000020	0.893892	0.721506
001	000030	0.900433	0.712893
001	000040	0.898953	0.719078
001	000050	0.901038	0.719270
001	000060	0.901420	0.719794
001	000070	0.901451	0.718222
001	000080	0.901802	0.720807
001	000090	0.903011	0.721069
001	000100	0.903425	0.721279
001	000110	0.904221	0.722048
001	000120	0.904953	0.725786
001	000130	0.906640	0.728896
001	000140	0.911701	0.729612
001	000150	0.917653	0.728442
001	000160	0.921807	0.730311
001	000170	0.925293	0.730748
001	000180	0.928699	0.730538
001	000190	0.931532	0.730748
001	000200	0.934237	0.728407
001	000210	0.937198	0.729490
001	000220	0.940349	0.728092
001	000230	0.942673	0.728092
001	000240	0.944869	0.728616
001	000250	0.946874	0.731516
001	000260	0.948943	0.731342
001	000270	0.951299	0.729700
001	000280	0.952636	0.730992
001	000290	0.953941	0.729385
001	000300	0.955755	0.730259
001	000310	0.957665	0.731796
001	000320	0.958779	0.731761
001	000330	0.960943	0.730433
001	000340	0.962408	0.728372
001	000350	0.964349	0.727708
001	000360	0.965750	0.728127
001	000370	0.966928	0.728267
001	000380	0.968105	0.728651
001	000390	0.969220	0.728022
001	000400	0.970397	0.727463
001	000410	0.972084	0.727918
001	000420	0.973453	0.727079
001	000430	0.974344	0.728756
001	000440	0.975172	0.730678
001	000450	0.975745	0.731481
001	000460	0.976827	0.731726
001	000470	0.977527	0.732180
001	000480	0.978546	0.731901
001	000490	0.979501	0.731586
001	000500	0.980138	0.730713
002	000010	0.888826	0.775509
002	000020	0.892890	0.790355
002	000030	0.896467	0.798502
002	000040	0.898320	0.803572
002	000050	0.901947	0.806585
002	000060	0.906286	0.810672
002	000070	0.908992	0.814577
002	000080	0.912157	0.818198
002	000090	0.915280	0.817759
002	000100	0.918495	0.820345
002	000110	0.920568	0.824820
002	000120	0.924649	0.827458
002	000130	0.927697	0.828854
002	000140	0.930795	0.830174
002	000150	0.933210	0.829992
002	000160	0.935367	0.831958
002	000170	0.937932	0.831596
002	000180	0.939747	0.831984
002	000190	0.941838	0.831622
002	000200	0.944028	0.831131
002	000210	0.946060	0.831363
002	000220	0.948242	0.831053
002	000230	0.950407	0.833381
002	000240	0.952339	0.835010
002	000250	0.954346	0.833795
002	000260	0.956220	0.833976
002	000270	0.958136	0.834622
002	000280	0.960359	0.835812
002	000290	0.962449	0.836226
002	000300	0.964332	0.837338
002	000310	0.965797	0.838166
002	000320	0.967446	0.838166
002	000330	0.968820	0.838812
002	000340	0.970844	0.839278
002	000350	0.972293	0.839640
002	000360	0.973584	0.838993
002	000370	0.975208	0.839200
002	000380	0.976665	0.840312
002	000390	0.978214	0.839873
002	000400	0.979405	0.839769
002	000410	0.980621	0.839821
002	000420	0.981712	0.840752
002	000430	0.982678	0.840338
002	000440	0.983652	0.840131
002	000450	0.984710	0.840235
002	000460	0.985809	0.840002
002	000470	0.986650	0.839433
002	000480	0.987283	0.840493
002	000490	0.988149	0.840209
002	000500	0.988807	0.841606
002	000510	0.989507	0.841580
002	000520	0.990348	0.842045
002	000530	0.990898	0.842304
002	000540	0.991481	0.841787
002	000550	0.992039	0.842175
002	000560	0.992547	0.841838
002	000570	0.993154	0.841166
002	000580	0.993612	0.841244
002	000590	0.994029	0.841528
002	000600	0.994570	0.841994
002	000610	0.994970	0.842382
