fold	iteration	train_auc	eval_auc
001	000010	0.840216	0.741485
001	000020	0.883063	0.787035
001	000030	0.888381	0.794188
001	000040	0.888818	0.795158
001	000050	0.890879	0.795727
001	000060	0.892491	0.793957
001	000070	0.896571	0.796747
001	000080	0.898866	0.797682
001	000090	0.899744	0.801464
001	000100	0.900223	0.801164
001	000110	0.906436	0.804178
001	000120	0.907410	0.808529
001	000130	0.913186	0.811359
001	000140	0.913635	0.811600
001	000150	0.914930	0.810295
001	000160	0.915572	0.809189
001	000170	0.926036	0.807969
001	000180	0.926498	0.804731
001	000190	0.933822	0.803410
001	000200	0.939339	0.803540
001	000210	0.939306	0.802320
001	000220	0.940089	0.799726
001	000230	0.941446	0.802346
001	000240	0.943328	0.801410
001	000250	0.945456	0.800222
001	000260	0.947080	0.801107
001	000270	0.951719	0.804614
001	000280	0.953747	0.810194
001	000290	0.956553	0.804838
001	000300	0.957490	0.806143
001	000310	0.959589	0.809729
001	000320	0.962337	0.808630
001	000330	0.966372	0.802715
001	000340	0.969691	0.806930
001	000350	0.970623	0.803786
001	000360	0.972968	0.805164
001	000370	0.974783	0.807104
001	000380	0.977864	0.806472
001	000390	0.980321	0.809467
001	000400	0.982270	0.809954
001	000410	0.984643	0.811938
001	000420	0.986159	0.812848
001	000430	0.987658	0.814592
001	000440	0.988982	0.814465
001	000450	0.990556	0.815103
001	000460	0.991414	0.816462
001	000470	0.992472	0.816765
001	000480	0.993463	0.818964
001	000490	0.994320	0.818377
001	000500	0.995120	0.818743
001	000510	0.995828	0.818869
001	000520	0.996527	0.819425
001	000530	0.997035	0.819438
001	000540	0.997377	0.819748
001	000550	0.997693	0.819103
001	000560	0.998026	0.819268
001	000570	0.998301	0.817953
001	000580	0.998701	0.817568
001	000590	0.998892	0.816683
001	000600	0.999067	0.817669
001	000610	0.999225	0.817410
001	000620	0.999384	0.817024
001	000630	0.999575	0.817536
001	000640	0.999592	0.817928
001	000650	0.999659	0.816980
001	000660	0.999700	0.817258
001	000670	0.999800	0.816095
001	000680	0.999817	0.816550
001	000690	0.999858	0.815912
001	000700	0.999883	0.815754
001	000710	0.999908	0.815735
001	000720	0.999917	0.816228
001	000730	0.999958	0.814743
001	000740	0.999983	0.814427
001	000750	0.999983	0.814288
